"CNTYBNA","FACTOR1","FACTOR2","FACTOR3","JA","CT89_91","POPU","HomiRate","LnHomiRate","xcoord","ycoord","poverty","public_assistance","female_headed","unemployment","new_residents","renter-occupied","no_high_school","crowded_households","black","latino"
"0310303",-0.6963,0.0593,-0.9675,0.9827,0,3927,0,0,354730.749961297,591703.1013051387,20.905,12.006,7.7027,5.7529,58.06,74.1453,27.9244,9.6154,5.0377,61.9607
"0310304",-0.7484,0.489,-0.7035,0.9504,1,3251,30.759766225776684,3.458200275702497,354770.1324996989,590891.1162222119,21.5891,4.8116,12.6632,4.9801,50.55,74.4729,30.1318,14.4578,8.1671,75.9101
"0310305",-0.6911,0.309,-0.9543,1.0712,1,7714,12.963443090484832,2.636442706643193,355358.49954396783,590929.2754170535,15.5877,11.3115,12.1128,5.4016,56.79,77.0833,27.4711,14.7883,13.8677,69.9116
"0310306",-0.4579,-0.6488,-1.2384,0.9442,7,10670,65.60449859418931,4.198772121724483,356247.5375183702,590930.4508236095,19.7396,11.5288,11.7044,5.3905,62.37,76.5644,17.5474,7.1166,32.5703,39.4582
"0310307",-0.4361,-0.7153,-0.9803,0.9466,4,9332,42.86326618088298,3.7810772085455,356315.8772815051,590144.3249812444,14.5753,9.7619,15.7865,5.8748,56.62,75.643,18.0511,5.689,28.4645,34.3487
"0310308",-0.7918,-0.4987,-0.8936,1.0632,1,3261,30.665440049064703,3.455225866889506,355431.6076052526,590114.2555071745,10.7348,6.8132,6.1706,5.5345,57.98,69.3176,18.5666,7.5294,4.8723,39.4137
"0310309",-0.7866,-0.0569,-0.6008,1.0969,2,3200,62.5,4.151039905898646,354831.3150153792,590096.660134629,11.3795,11.0303,8.9097,4.7794,52.72,67.254,26.3044,8.9574,4.3946,56.1409
"0310310",-0.7922,0.6956,-1.0445,0.9963,0,4328,0,0,354867.59239686735,589276.1752997084,14.0135,12.743,9.469,5.5165,60.61,80.5291,40.3369,14.127,7.411,83.8113
"0310311",-0.3789,0.6041,-1.1095001,1.0064,2,4694,42.6075841499787,3.775231083621728,355466.5946933555,589303.4794734456,28.8534,22.0653,18.887,4.8318,56.66,84.0093,34.4034,17.1562,10.7009,69.5815
"0310312",0.5241,0.7184,-1.8856,0.9466,13,6469,200.95841706600712,5.308061820101051,356006.0588114179,589323.2880426169,59.5544,39.9969,34.8776,6.4084,69.15,97.7967,46.5474,19.0476,35.0766,55.0209
